"","rownames(int_B_sect_strand_share)","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"I","I",0.000162830050510848,0.00119376141762172,0.00942928612186081,0.000595411046178254,0.00133722919038563,0.00572800183970014,5.1860044308268e-06,4.80369256260328e-06,0.00206844360553661,0.000886505701447612
"J","J",NA,NA,NA,0.00177745948812145,NA,NA,NA,NA,NA,NA
"J58-60","J58-60",NA,0.00201182064662429,NA,NA,NA,0.00092061137608424,0.00190307004674527,NA,NA,NA
"J58","J58",0.000613240905702319,NA,0.0080100140403555,NA,0.00833790133119701,NA,NA,3.37464142701287e-05,0.00673521586008255,0.00398476515333009
"J59_60","J59_60",0.000377922489872192,NA,0.00529123354952215,NA,0.00526051859243438,NA,NA,2.79497643808954e-05,0.0159697432596374,0.00293001953995557
"J61","J61",0.000442328240286817,0.00104144298940801,0.00542590671297147,NA,0.00409483157311119,0.000630609992057884,0.0015649651036929,3.03750435487912e-05,0.00518618555627569,0.0040547719146673
"J62_63","J62_63",0.000230168372880463,0.00154380219524171,0.00298139741321273,NA,0.00792139660459867,0.000283960727676807,0.00163759222715092,3.68608259393696e-05,0.00435225257109861,0.00379331393525122
"K","K",NA,1.27718186296806e-07,NA,2.49527392190488e-05,NA,6.56384468496006e-06,0.000183533945291725,NA,NA,NA
"K64","K64",2.10647173793295e-05,NA,0.00432125965722282,NA,0.00239865025442957,NA,NA,0.000346199304976407,0.000974850181020928,0.00022437886794807
"K65","K65",2.6857373955782e-05,NA,0.0167690740260789,NA,0.0045181281393896,NA,NA,0.000369128798936347,0.00146862740899439,0.000279118134593558
"K66","K66",2.18176219663515e-05,NA,0.00549463598070112,NA,0.00681533764322612,NA,NA,0.000555191032319182,0.00104718192213323,0.000292154596224251
"L","L",0.000460417567995895,1.82460596923914e-06,0.00645097992404524,0.000228826972006591,0.000181202234030115,0.00128595519342563,0.000330047748944368,4.90217937321477e-05,0.00632835678357743,0.000448291290902981
"M","M",NA,NA,NA,0.00132858932260196,NA,NA,NA,NA,NA,NA
"M69_70","M69_70",0.000451866912575333,NA,0.00189246761814667,NA,0.00142864228426022,NA,NA,7.94981281473693e-05,0.00451917824751175,0.00110762105411918
