"","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"58","C29 (0.63)",NA,"C29 (0.86)",NA,"L (0.53)",NA,NA,NA,"K66 (0.78)","H50 (0.53)"
"59","N79 (0.54)",NA,"C30 (0.81)",NA,"F (0.51)",NA,NA,NA,"S96 (0.76)","S96 (0.5)"
"60","C28 (0.54)",NA,"S96 (0.8)",NA,"M72 (0.49)",NA,NA,NA,"J58 (0.65)","C30 (0.49)"
"61","C30 (0.3)",NA,"N79 (0.52)",NA,"C21 (0.46)",NA,NA,NA,"C26 (0.44)","L (0.46)"
"62","M72 (0.08)",NA,NA,NA,"C29 (0.37)",NA,NA,NA,"N79 (0.17)","M72 (0.3)"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
